columns,explained_variance
A,116494.7954966372
C1,107.3719268589387
C2,60.24351919607775
C3,31.63376549251018
C4,9.675733465234345
C5,8.913090393917328
C6,6.405231053935269
C7,5.629134083319657
C8,4.290064174692086
C9,4.043651932324247
C10,3.5646888899817197
C11,2.765420458514602
C12,2.2646305996901877
C13,2.1294039779259277
C14,1.9828686417274866
C15,1.668731446787426
C16,1.5495134956492547
C17,1.404218927377655
C18,1.2043160107037938
C19,1.0862010754061577
C20,1.0493246633002251
C21,0.9821007737361505
C22,0.9061119431727571
C23,0.7756386697076947
C24,0.7580010912029813
C25,0.7048679242712973
C26,0.65622600062384
C27,0.6214929678866691
C28,0.5716296400669837
C29,0.5397564224967952
C30,0.4895476638242796
C31,0.44961791238512966
C32,0.4342490364416903
C33,0.3833187144567091
C34,0.3737697089773893
C35,0.3482155187100002
C36,0.3190882589512689
C37,0.31071843271358346
C38,0.3024054274528859
C39,0.27516343293417733
C40,0.25843701529133073
C41,0.25478914501910893
C42,0.2530390492344267
C43,0.2366909212803356
C44,0.22470264274609425
C45,0.20475398857997995
C46,0.20155560556082977
C47,0.1967607434570756
C48,0.1934257071531199
C49,0.18357872273469497
C50,0.17798307096098212
C51,0.17245766089160977
C52,0.17050974927737683
C53,0.1679112682550849
C54,0.1572596779303665
C55,0.15423469300658382
C56,0.14876477977036018
C57,0.1478522802298323
C58,0.1382774884562326
C59,0.13144287697613222
C60,0.12784970592274056
C61,0.12507565844869298
C62,0.12016927593438773
C63,0.11599045377515793
C64,0.1136890002110415
C65,0.11190327157777341
C66,0.10595654231119365
C67,0.10155351509260302
C68,0.09646980064307413
C69,0.09495708621259068
C70,0.09006086512527124
C71,0.08552530627608558
C72,0.08280989150804975
C73,0.08266350410793863
C74,0.08027437095448031
C75,0.07902549507461248
C76,0.07653184918956622
C77,0.07478561541088094
C78,0.07161513115021109
C79,0.07008753398269764
C80,0.06932258722048562
C81,0.06616724619463028
C82,0.06386661877086969
C83,0.062411310237625285
C84,0.06095271126826786
C85,0.05973538943715085
C86,0.0590506074203352
C87,0.05600793801769404
C88,0.05515033329974516
H1,0.053833012712874516
H2,0.05265884096499982
H3,0.052197495632986965
H4,0.050516855410738776
H5,0.049408070335957247
H6,0.048657014381088194
H7,0.047376240807147675
N1,0.045702599591774216
N2,0.04515761289751797
N3,0.04486291088681596
N4,0.04339917745686808
N5,0.04245156599306952
N6,0.04174109502783
N7,0.04055816080770112
N8,0.039069364645355154
N9,0.03820529560792101
N10,0.03699267347905548
N11,0.03670409668699772
N12,0.035781329132343234
N13,0.034912546242616596
N14,0.03346626965996415
N15,0.0318999377267717
N16,0.03162977216858521
N17,0.031247061886348265
N18,0.030766856196040096
N19,0.030286879378747633
N20,0.029842229901635205
N21,0.029357443520059593
N22,0.02794306287565369
N23,0.02709034372484188
N24,0.026577396909892987
N25,0.025884004706456052
N26,0.025504792957834782
N27,0.025123556393672447
N28,0.024519209398710065
N29,0.024433076119512676
N30,0.02404186468395013
N31,0.023198307915184506
N32,0.022464923693700362
N33,0.02195682281238195
N34,0.021278082948710312
N35,0.02104245110231745
N36,0.02061125338483199
N37,0.019697435883220288
N38,0.01924586082789425
N39,0.018361554986740726
N40,0.018167612096008454
N41,0.0180952095191258
N42,0.017204536863774336
N43,0.016799621076454673
N44,0.016540833211230743
N45,0.016280428784782704
N46,0.015662424976174292
